Gender,Age,State,Mode of Entry,EDT 111 (2),ITE 101 (2),EDT 112 (2),ITE 102 (2),EDT 113 (2),ITE 103 (2),EDT 114 (2),ITE 104 (2),EDT 115 (2),ITE 105 (2),EDT 116 (2),GNS 111 (2),EDU 111 (2),GNS 112 (2),EDU 112 (2),ASE 114 (2),SSE 115 (2),ASE 116 (2),EDT 117 (2),EDT 118 (2),EDT 119 (2),EDT 120 (2),EDT 121 (2),EDT 122 (2),EDT 123 (2),EDT 124 (2),ITE 201 (2),SSE 201 (2),EDT 211 (2),SSE 202 (2),ITE 202 (2),GSE 202 (2),EDU 212 (2),EDU 211 (2),EDT 212 (2),ITE 203 (2),EDT 203 (3),EDT 214 (2),ITE 204 (2),EDT 215 (2),ITE 206 (2),ITE 207 (2),ITE 208 (2),GNS 211 (2),GNS 212 (2),EDT 213 (2),EDU 213 (2),EDU 214 (2),EDU 215 (2),EDU 216 (2),EDT 216 (2),EDT 217 (2),EDT 218 (2),EDT 219 (2),EDT 220 (2),EDT 221 (2),EDT 222 (2),EDT 223 (1),EDT 224 (2),EDT 225 (2),EDT 226 (2),EDT 227 (2),EDT 228 (2),EDT 229 (2),EDT 230 (2),EDT 311 (2),ITE 301 (2),GSE 301 (3),SSE 302 (2),EDT 312 (2),ITE 302 (2),EDT 313 (2),ITE 303 (2),EDT 314 (2),ITE 304 (2),SSE 304 (3),AED 305 (2),EDT 315 (2),EDT 316 (2),ITE 306 (2),EDT 317 (2),EDT 318 (2),EDT 319 (2),ITE 307 (2),ITE 308 (2),EDT 310 (2),HED 310 (2),GNS 311 (2),EDU 311 (2),GNS 312 (1),EDU 312 (2),EDU 313 (2),EDU 314 (2),EDU 315 (2),EDU 316 (3),EDT 320 (2),EDT 321 (2),EDT 322 (2),EDT 323 (2),EDT 324 (2),EDT 325 (2),EDT 326 (2),EDT 327 (2),EDT 328 (2),EDT 329 (2),DLC 400 (0),EDT 411 (3),EDU 412 (2),EDT 412 (2),AED 403 (2),EDT 413 (2),SSE 404 (2),EDT 414 (2),SED 405 (2),EDT 415 (2),SED 406 (2),EMA 407 (2),CED 408 (2),EDT 410 (2),EDU 411 (4),EDU 413 (2),EDU 414 (2),EDU 415 (2),EDU 416 (2),EDT 416 (2),EDU 417 (2),EDT 417 (2),EDT 418 (2),EDT 419 (2),EDT 420 (2),EDT 421 (2),EDT 422 (2),EDT 423 (2),EDT 424 (2),EDT 425 (2),EDU 499 (4),Final CGPA,Class of Degree
Male,17,kwara,UTME,71,96,60,70,70,67,74,72,70,62,57,68,,66,,64,42,68,,,,70,,,,,78,70,66,43,67,,,,70,65,61,68,66,67,62,66,62,68,40,60,,,,,,,,,,,,,,,,,,,,67,60,41,75,61,,57,50,63,63,48,91,62,42,,63,,,42,,77,76,44,,,,,,,,,,,,,,,,,,66,70,,48,72,66,40,51,68,65,59,62,59,71,,,,,,,,,,,,,,,,,64,3.741721854,Second Class Upper
Male,24,osun,UTME,67,92,62,72,68,68,72,57,72,60,61,62,,62,,56,65,54,,,,70,,,,,66,48,59,55,55,,,,65,56,60,61,61,50,63,41,51,62,58,57,,,,,,,,,,,,,,,,,,,,60,58,40,69,57,,55,44,58,64,57,69,,50,42,55,,63,50,,53,52,48,,,,,,,,,,,,,,,,,,66,55,,53,57,60,40,58,61,51,50,40,61,50,,,,,,,,,,,,,,,,,63,3.264516129,Second Class Lower
Male,22,kwara,UTME,50,92,58,58,49,68,65,68,62,69,63,66,,72,,74,47,60,,,,66,,,,,66,65,51,55,40,,,,62,73,63,62,61,63,42,58,54,56,56,44,,,,,,,,,,,,,,,,,,,,72,65,49,64,54,,58,63,63,61,74,80,,40,,62,68,63,47,47,72,55,56,,,,,,,,,,,,,,,,,,70,56,,60,72,74,42,46,63,62,71,54,62,54,,,,,,,,,,,,,,,,,66,3.541935484,Second Class Upper
Female,18,kwara,UTME,51,60,55,50,50,55,53,56,65,42,50,60,,54,,96,50,50,,,,66,,,,,39,21,56,58,70,,,,58,50,48,56,70,52,41,67,56,56,66,48,,,72,,,,,,,,,,,,,,,,,56,60,57,62,46,,55,62,57,60,71,79,,55,,60,47,,40,46,66,57,44,,,,,,,,,,,,,,,,,,66,56,,55,69,68,52,45,61,60,81,56,58,45,,,,,,,,,,,,,,,,,63,3.074534161,Second Class Lower
Male,17,ekiti,UTME,51,86,58,55,48,58,64,68,61,50,60,68,,66,,54,50,58,,,,67,,,,,52,64,44,54,60,,,,58,37,30,47,57,57,40,46,51,60,54,53,73,,,,,,,,,,,,,,,,,,,55,46,49,60,41,,56,53,53,65,53,60,,50,,40,,40,46,,50,42,58,,,,,,,,,,,,,,,,,,76,64,,58,64,,40,41,57,52,48,51,54,40,,,,,,,,,,,,,,,,,61,2.595092025,Second Class Lower
Male,17,kogi,UTME,62,88,60,76,66,75,61,55,60,59,68,52,,68,,80,60,64,,,,63,,,,,60,74,53,57,52,,,,62,64,48,56,62,45,45,60,60,60,52,42,,,,,,,,,,,,,,,,,,,,70,48,40,64,45,,56,48,57,60,55,60,,54,,61,52,55,52,,56,52,56,,,,,,,,,,,,,,,,,,50,63,,48,59,67,40,62,51,55,44,46,51,62,,,,,,,,,,,,,,,,,64,3.258278146,Second Class Lower
Male,21,kwara,UTME,62,80,60,46,70,65,55,58,70,56,61,40,,48,,50,42,60,,,,60,,,,,63,67,45,53,60,,,,63,48,66,45,65,47,50,43,53,52,42,40,,,,,,,,,,,,,,,,,,,,56,40,50,54,41,,55,50,57,65,56,40,,48,,53,54,,57,,60,50,48,,,,,,,,,,,,,,,,,,50,58,,52,53,67,40,46,48,60,57,40,47,32,,,,,,,,,,,,,,,,,55,2.67721519,Second Class Lower
Female,16,oyo,UTME,53,86,65,62,53,66,53,54,66,53,68,68,,68,,72,61,66,,,,72,,,,,63,74,52,63,60,,,,66,52,64,62,71,69,50,80,53,70,58,66,,,,,,,,,,,,,,,,,,,,55,73,46,70,50,,57,51,60,64,58,62,,43,,53,56,70,52,,55,63,68,,,,,,,,,,,,,,,,,,96,71,,70,73,70,48,55,76,70,55,63,62,86,,,,,,,,,,,,,,,,,70,3.843137255,Second Class Upper
Male,29,delta,UTME,48,86,54,68,56,51,53,65,68,53,56,62,,64,45,10,49,60,,,,47,,,,,56,51,41,34,57,,49,,58,45,46,45,57,60,41,45,57,52,58,57,,,,,,,,,,,,,,,,,,,,53,47,40,60,53,,45,60,60,61,43,57,,41,,43,,,50,,56,41,48,,,,,,,,,,,,,,,,,,60,53,,62,59,,40,,49,55,44,53,44,41,,,,,,,,,,,,,,,,,40,2.254545455,Third Class
Male,19,ogun,UTME,56,86,54,74,54,60,57,70,68,67,46,62,,64,,54,66,44,,,,64,,,,,65,65,60,55,60,,,,52,50,62,58,63,55,46,58,47,66,50,55,,,,,,,,,,,,,,,,,,,,61,49,52,71,42,,57,56,60,60,43,50,,40,,60,41,57,42,54,57,56,52,,,,,,,,,,,,,,,,,,60,57,,57,62,71,40,50,55,55,63,42,57,26,,,,,,,,,,,,,,,,,67,3.025477707,Second Class Lower
Male,17,osun,UTME,57,88,65,72,41,66,68,72,70,58,61,62,,76,,98,45,56,,,,65,,,,,82,82,63,61,54,,,,65,60,62,64,61,75,75,58,54,68,40,58,,,,,,,,,,,,,,,,,,,,58,79,50,79,53,,55,71,55,65,80,88,,50,,63,63,67,50,,61,81,68,,,,,,,,,,,,,,,,,,85,64,,62,75,63,54,60,69,53,59,61,66,66,,,,,,,,,,,,,,,,,63,3.823529412,Second Class Upper
Male,18,oyo,UTME,51,96,55,46,52,71,54,60,67,71,63,56,,70,,84,63,72,,,,71,,,,,75,81,57,71,60,,,,66,55,60,64,63,66,41,51,65,72,58,55,,,,,,,,,,,,,,,,,,,,61,62,44,74,62,,58,52,63,65,74,73,,55,,67,78,71,50,59,72,79,54,,,,,,,,,,,,,,,,,,70,61,,65,77,74,54,78,68,65,80,55,62,73,,,,,,,,,,,,,,,,,67,3.941935484,Second Class Upper
Female,19,oyo,UTME,56,88,61,68,58,70,64,75,75,68,70,72,,90,,74,60,64,,,,67,,,,,92,67,59,71,50,,,,76,56,54,63,67,74,50,45,60,68,42,70,,,,,,,,,,,,,,,,,,,,68,58,43,76,60,,61,60,63,65,77,63,,45,,68,58,66,52,,73,63,62,,,,,,,,,,,,,,,,,,70,62,,65,74,66,50,50,67,55,63,74,66,81,,,,,,,,,,,,,,,,,67,3.901960784,Second Class Upper
Male,20,osun,UTME,68,92,65,76,51,73,53,71,70,69,61,58,,78,,78,52,66,,,,70,,,,,78,66,69,55,62,,,,70,64,67,67,64,64,58,68,54,60,58,65,,,,,,,,,,,,,,,,,,,,62,58,40,76,55,,64,71,60,66,43,63,,51,,70,55,73,52,,68,46,58,,,,,,,,,,,,,,,,,,66,61,,67,77,66,40,54,71,58,72,53,55,70,,,,,,,,,,,,,,,,,64,3.784313725,Second Class Upper
Male,19,ogun,UTME,71,92,63,68,57,72,66,67,66,54,70,74,,80,,56,74,70,,,,61,,,,,84,81,61,68,65,,,,70,54,65,60,62,76,60,60,60,74,44,71,,,,,,,,,,,,,,,,,,,,62,70,51,84,43,,57,70,60,67,69,68,,57,,70,71,67,60,,65,82,74,,,,,,,,,,,,,,,,,,60,63,,71,82,73,46,57,74,50,66,62,75,71,,,,,,,,,,,,,,,,,70,4.183006536,Second Class Upper
Female,19,kwara,UTME,55,70,52,40,68,61,61,52,60,48,54,42,,60,,50,49,46,,,,60,,,,,70,45,40,54,60,,,,61,45,65,60,70,46,50,55,55,54,44,44,,,,,,,,,,,,,,,,,,,,54,72,43,56,52,,54,54,60,67,47,52,,40,,56,54,,60,,62,61,54,,,,,,,,,,,,,,,,,,41,63,,61,63,68,40,54,58,65,56,43,50,53,,,,,,,,,,,,,,,,,67,2.86163522,Second Class Lower
Male,20,ondo,UTME,54,86,61,64,63,60,53,54,60,60,60,40,,54,,42,50,56,,,,70,,,,,52,54,40,48,60,,,,58,40,43,52,62,62,41,40,54,64,44,41,,,,,,,,,,,,,,,,,,,,70,55,40,68,41,,53,40,58,56,69,76,,52,,65,70,47,60,,53,72,42,,,,,,,,,,,,,,,,,,66,52,,57,58,65,42,57,51,55,82,52,53,61,,,,,,,,,,,,,,,,,64,2.878205128,Second Class Lower
Male,25,kwara,UTME,50,82,46,50,55,58,41,60,51,47,62,44,40,48,,40,33,42,,,,45,,,,,44,38,56,61,70,,,,53,34,32,36,61,43,55,40,54,46,45,37,41,,40,47,,,,,,,,,,,,,,,,56,43,40,46,50,,43,31,50,62,31,11,,48,,52,,,0,,46,39,40,,,,66,40,,50,,,,,,,,,,,45,62,,41,40,,42,41,45,,42,44,29,27,,,,,53,,,,,,,,,,,,60,0.637614679,Third Class
Male,20,ekiti,UTME,58,72,50,54,59,62,50,72,62,46,65,48,,58,,76,47,60,,,,64,,,,,82,60,63,51,60,,,,62,53,53,60,63,63,56,60,54,58,56,52,,,,,,,,,,,,,,,,,,,,61,58,40,62,52,,57,61,70,57,42,85,,52,60,58,,50,57,,41,47,40,,,,,,,,,,,,,,,,,,56,58,,50,69,66,40,54,49,66,62,54,54,60,,,,,,,,,,,,,,,,,70,3.232258065,Second Class Lower
Male,23,osun,UTME,56,86,61,76,64,63,65,68,63,50,45,58,,62,,62,51,50,,,,60,,,,,90,60,61,49,62,,,,68,56,70,64,62,71,67,70,60,74,60,67,,,,,,,,,,,,,,,,,,,,58,60,47,70,52,,56,66,60,59,55,57,,56,54,62,57,55,50,,61,50,58,,,,,,,,,,,,,,,,,,90,63,,65,68,69,40,41,68,55,68,51,66,63,,,,,,,,,,,,,,,,,68,3.6,Second Class Upper
Male,18,ekiti,UTME,62,96,58,74,64,62,60,60,73,71,66,64,,68,,62,67,66,,,,70,,,,,83,69,53,60,63,,,,68,51,70,60,62,65,63,74,56,68,42,52,,,,,,,,,,,,,,,,,,,,54,53,47,74,54,51,58,65,55,67,48,88,,41,,57,,56,42,51,72,64,48,,,,,,,,,,,,,,,,,,50,63,,61,65,69,44,61,68,55,66,57,61,76,,,,,,,,,,,,,,,,,55,3.614379085,Second Class Upper
Female,20,kwara,UTME,55,70,48,54,53,58,61,63,62,54,53,50,,52,,44,43,52,,,,67,,,,,71,50,53,52,77,,,,68,60,43,50,64,50,48,60,60,56,40,40,,,,,,,,,,,,,,,,,,,,57,62,40,61,46,,58,52,63,65,47,54,,47,40,57,,,52,,60,57,40,,,,,,,,,,,,,,,,,,60,65,,63,42,62,40,47,44,56,44,51,50,40,,,,,,,,,,,,,,,,,50,2.787096774,Second Class Lower
Male,19,edo,UTME,58,78,58,62,59,66,62,65,63,54,58,48,,52,,50,40,54,,,,71,,,,,70,63,55,54,62,,,,68,48,45,61,63,58,60,54,54,66,42,45,,,,,,,,,,,,,,,,,,,,61,70,40,73,55,,61,62,57,66,52,79,,54,,53,66,64,60,53,68,69,64,,,,,,,,,,,,,,,,,,76,64,,50,66,71,42,58,54,50,69,40,47,83,,,,,,,,,,,,,,,,,67,3.296774194,Second Class Lower
Male,28,kwara,UTME,64,98,64,86,70,72,65,67,70,77,75,84,,92,,70,71,82,,,,70,,,,,82,75,61,72,60,,,,74,60,66,70,61,76,67,74,63,86,70,83,,,,,,,,,,,,,,,,,,,,61,85,46,76,60,,61,78,58,67,72,87,,65,78,64,,64,52,,61,74,66,,,,,,,,,,,,,,,,,,66,55,,62,68,58,54,57,75,65,68,69,72,62,,,,,,,,,,,,,,,,,68,4.331125828,Second Class Upper
Male,20,oyo,UTME,67,88,67,66,53,70,65,68,57,75,55,48,,54,,50,43,62,,,,62,,,,,68,47,58,44,50,,,,63,56,55,58,64,49,60,46,64,64,58,48,,,,,,,,,,,,,,,,,,,,60,64,40,70,50,,58,65,61,66,48,52,,55,,58,,51,40,55,52,53,42,,,,,,,,,,,,,,,,,,60,63,,60,70,70,50,56,52,70,72,52,54,52,,,,,,,,,,,,,,,,,64,3.320261438,Second Class Lower
Male,23,kwara,UTME,46,84,51,46,51,72,65,64,69,46,62,48,,66,,42,46,66,,,,74,,,,,74,64,52,57,40,,,,56,46,62,60,70,61,40,44,52,62,44,49,,,,,,,,,,,,,,,,,,,,58,67,47,79,55,,57,60,58,66,58,70,,40,,50,57,61,52,,60,51,50,,,,,,,,,,,,,,,,,,56,67,,50,78,64,44,63,64,65,58,59,64,45,,,,,,,,,,,,,,,,,64,3.254901961,Second Class Lower
Female,19,oyo,UTME,45,72,53,48,52,67,57,70,63,50,58,48,,62,,52,63,54,,,,60,,,,,64,49,45,45,65,,,,58,51,52,60,64,50,45,63,64,48,42,42,,,,,,,,,,,,,,,,,,,,60,77,40,58,52,,55,48,50,66,62,75,50,41,,45,46,,42,57,68,44,54,,,,,,,,,,,,,,,,,,45,60,,55,63,64,40,47,40,60,62,43,48,50,,,,,,,,,,,,,,,,,64,2.886075949,Second Class Lower
Male,19,kwara,UTME,70,94,63,76,72,68,64,66,64,74,60,60,,90,,94,51,58,,,,70,,,,,81,75,60,60,62,,,,68,55,63,62,70,63,55,61,55,68,52,45,,,,,,,,,,,,,,,,,,,,62,68,41,80,55,,61,57,61,64,70,80,,47,,56,,,52,61,50,48,66,,,,,,,,,,,,,,,,,,80,58,,71,73,66,50,43,65,60,76,52,65,61,,,,,,,,,,,,,,,,,65,3.703225806,Second Class Upper
Male,19,oyo,UTME,54,72,58,50,47,68,53,60,61,59,64,44,,42,,64,47,60,,,,55,,,,,58,64,43,44,57,,,,57,41,56,61,63,43,45,60,53,48,40,42,,,,,,,,,,,,,,,,,,,,66,64,40,55,40,,53,40,60,66,64,74,,71,,60,42,40,52,50,43,50,60,,,,,,,,,,,,,,,,,,76,56,,48,57,70,40,45,40,60,55,44,55,32,,,,,,,,,,,,,,,,,56,2.681528662,Second Class Lower
Male,24,kwara,UTME,55,94,61,76,61,65,68,70,70,61,76,72,,78,,98,76,72,,,,66,,,,,86,86,70,71,57,,,,68,70,70,70,70,81,40,50,55,82,70,76,,,,,,,,,,,,,,,,,,,,52,74,53,82,43,,65,77,50,62,66,77,,46,,58,,67,62,,60,79,70,,,,,,,,,,,,,,,,,,85,77,,70,90,77,60,50,83,65,81,74,80,61,,,,,,,,,,,,,,,,,65,4.304635762,Second Class Upper
Female,19,abia,UTME,76,94,62,64,59,70,64,64,53,56,58,40,,58,,57,59,70,,,,61,,,,,76,49,56,50,64,,,,58,58,54,50,73,44,54,72,52,60,40,40,,,,,,,,,,,,,,,,,,,,61,57,41,70,51,,56,51,62,66,46,57,,43,,50,,61,62,,60,57,52,,,,,,,,,,,,,,,,,,50,66,,63,61,71,40,47,48,60,54,50,60,67,,,,,,,,,,,,,,,,,60,3.165605096,Second Class Lower
Male,21,kogi,UTME,54,78,56,54,53,66,58,68,58,59,55,62,,62,,40,54,50,,,,64,,,,,65,55,45,54,60,,,,53,50,45,59,67,52,46,60,50,40,40,40,,,,,,,,,,,,,,,,,,,,55,55,40,69,47,,53,61,52,60,42,49,,42,50,57,,50,62,,61,61,40,,,,,,,,,,,,,,,,,,76,60,,56,62,68,40,45,54,51,51,53,53,45,,,,,,,,,,,,,,,,,64,2.697530864,Second Class Lower
Male,19,edo,UTME,64,92,66,72,57,68,53,65,70,71,70,60,,74,,64,61,52,,,,73,,,,,82,70,54,55,67,,,,64,61,63,65,63,67,67,71,63,76,40,70,,,,,,,,,,,,,,,,,,,,63,73,42,64,50,,55,60,61,65,66,57,,63,52,64,68,57,52,,71,64,74,,,,,,,,,,,,,,,,,,90,60,,67,70,64,40,50,69,60,59,55,56,54,,,,,,,,,,,,,,,,,64,3.851612903,Second Class Upper
Male,16,kwara,UTME,65,88,62,97,63,70,63,67,68,67,62,66,,76,,56,65,74,,,,60,,,,,78,61,67,77,62,,,,74,56,70,66,62,80,71,71,62,74,62,69,,,,,,,,,,,,,,,,,,,,66,75,49,87,64,66,65,64,70,67,67,83,,53,70,57,,63,42,61,65,73,70,,,,,,,,,,,,,,,,,,60,67,,70,81,65,44,60,69,52,51,66,70,83,,,,,,,,,,,,,,,,,68,4.129032258,Second Class Upper
Male,24,kwara,Direct,60,,,,,,,,,,,48,,68,,84,,,,,,77,,,,,90,56,60,84,46,,,,63,55,63,71,71,70,68,66,70,74,48,43,,,,,,,,,,,,,,,,,,,,,53,52,53,64,,74,84,70,65,61,52,,61,,64,60,,60,63,56,68,40,,,,,,,,,,,,,,,,,,90,65,,62,97,63,66,55,91,60,86,52,70,68,,,,,,,,,,,,,,,,,64,3.744,Second Class Upper
Female,22,oyo,Direct,60,,,,,,,,,,,60,,50,,,,,,,,40,,,,,86,56,70,54,40,,,,64,64,70,60,63,66,68,56,62,58,54,61,,,,,,,,,,,,,,,,,,,,64,54,40,58,48,,72,81,61,65,53,56,,63,56,56,,,62,70,67,73,40,,,,,,,,,,,,,,,,,,66,61,,64,84,72,62,70,77,57,65,54,54,63,,,,,,,,,,,,,,,,,60,3.592,Second Class Upper
Female,22,ekiti,Direct,60,,,,,,,,,,,62,,58,,,,,,,,66,,,,,74,58,70,45,42,,,,60,59,58,51,64,69,73,63,52,76,50,53,,,,,,,,,,,,,,,,,,,,58,57,40,62,55,,62,76,50,66,48,64,50,61,62,65,,,62,,61,67,40,,,,,,,,,,,,,,,,,,53,63,,58,92,56,49,50,86,63,63,56,52,60,,,,,,,,,,,,,,,,,69,3.28125,Second Class Lower
Male,41,kwara,Direct,60,,,,,,,,,,,48,,60,,,,,,,,68,,,,,94,62,70,68,48,,,,71,65,68,55,77,83,71,52,56,68,44,57,,,,,,,,,,,,,,,,,,,,60,57,46,65,51,,70,77,62,68,57,74,,60,78,73,70,,40,,52,83,56,,,,,,,,,,,,,,,,,,42,63,,67,92,60,78,65,87,56,67,72,74,65,,,,,,,,,,,,,,,,,70,3.872,Second Class Upper
Female,26,osun,Direct,60,,,,,,,,,,,58,,58,,,,,,,,67,,,,,78,52,53,46,46,,,,70,60,64,76,72,74,63,73,54,60,64,56,,,,,,,,,,,,,,,,,,,,60,63,40,57,48,54,62,87,70,65,64,64,54,52,50,60,,,65,,75,76,62,,,,,,,,,,,,,,,,,,53,70,,57,84,55,72,65,81,55,60,58,65,68,,,,,,,,,,,,,,,,,61,3.728,Second Class Upper
Male,24,ogun,Direct,60,,,,,,,,,,,62,,54,,,,,,,,65,,,,,82,66,52,64,46,,,,70,50,67,63,70,75,56,49,66,68,66,68,,,,,,,,,,,,,,,,,,,,61,60,46,70,47,65,73,84,72,64,54,62,47,57,,65,,56,52,67,63,74,62,,,,,,,,,,,,,,,,,,90,63,,61,90,61,65,67,83,56,72,64,59,60,,,,,,,,,,,,,,,,,63,3.808,Second Class Upper
Male,26,enugu,Direct,60,,,,,,,,,,,70,,84,,,,,,,,62,,,,,92,56,71,70,42,,,,66,65,60,57,70,78,71,43,70,76,70,71,,,,,,,,,,,,,,,,,,,,64,56,48,66,50,64,64,70,65,66,53,56,,57,55,60,55,58,65,,50,62,50,,,,,,,,,,,,,,,,,,70,65,,60,75,60,63,57,61,56,45,68,60,64,,,,,,,,,,,,,,,,,67,3.808,Second Class Upper
Male,23,kwara,Direct,60,,,,,,,,,,,66,,74,,82,83,70,,,,68,,,,,92,60,55,70,52,,,,63,60,62,63,73,80,68,56,72,52,56,56,,,,,,,,,,,,,,,,,,,,60,66,40,62,44,,75,84,56,66,58,64,,71,50,74,53,55,66,,76,87,60,,,,,,,,,,,,,,,,,,86,63,,67,97,62,75,62,92,56,69,64,77,64,,,,,,,,,,,,,,,,,64,3.896296296,Second Class Upper
Male,24,oyo,Direct,60,,,,,,,,,,,48,,60,,,,,,,,71,,,,,70,62,66,62,48,,,,71,64,57,62,62,69,71,47,66,54,64,68,,,,,,,,,,,,,,,,,,,,61,47,42,64,60,,71,79,57,66,64,56,54,61,67,66,50,,60,,60,73,46,,,,,,,,,,,,,,,,,,56,60,,58,98,57,63,65,92,55,76,62,70,64,,,,,,,,,,,,,,,,,64,3.788617886,Second Class Upper
Male,35,kogi,Direct,60,,,,,,,,,,,54,,62,,56,71,60,,,,75,,,,,80,56,53,76,58,,,,61,54,56,54,63,72,71,51,68,60,42,47,,,,,,,,,,,,,,,,,,,,64,62,40,44,46,,62,75,56,65,51,68,,67,55,66,53,,60,,51,59,60,,,,,,,,,,,,,,,,,,66,60,,50,93,56,61,51,96,58,58,50,51,60,,,,,,,,,,,,,,,,,62,3.465648855,Second Class Lower
Male,22,ogun,Direct,60,,,,,,,,,,,60,,56,,,,,,,,63,,,,,88,48,55,64,46,,,,67,51,62,54,69,77,67,66,54,80,62,61,,,,,,,,,,,,,,,,,,,,60,67,40,64,50,61,80,83,56,64,64,66,53,57,48,60,,,70,,67,74,60,,,,,,,,,,,,,,,,,,76,64,,60,88,57,72,60,87,53,50,64,67,60,,,,,,,,,,,,,,,,,64,3.712,Second Class Upper
Female,22,oyo,Direct,60,,,,,,,,,,,74,,50,,,,,,,,53,,,,,72,70,56,48,50,,,,62,61,70,58,70,78,65,70,58,72,56,55,,,,,,,,,,,,,,,,,,,,61,62,56,66,50,58,67,83,63,66,68,66,56,61,47,66,,,70,,65,72,76,,,,,,,,,,,,,,,,,,76,67,,68,85,57,71,54,77,53,53,60,60,73,,,,,,,,,,,,,,,,,66,3.808,Second Class Upper
Female,24,kogi,Direct,60,,,,,,,,,,,50,,58,,,,,,,,68,,,,,80,58,60,48,48,,,,70,57,62,61,54,78,62,62,54,58,42,60,,,,,,,,,,,,,,,,,,,,64,52,56,51,60,,80,82,64,67,60,54,65,57,58,68,,,60,71,64,82,58,,,,,,,,,,,,,,,,,,70,64,,58,89,56,58,60,84,68,70,66,55,60,,,,,,,,,,,,,,,,,70,3.76,Second Class Upper
Male,22,oyo,Direct,60,,,,,,,,,,,54,,62,,,,,,,,64,,,,,82,68,51,48,42,,,,61,52,68,65,68,77,70,44,60,72,70,60,,,,,,,,,,,,,,,,,,,,60,66,48,56,46,,75,84,54,65,51,66,47,58,40,56,,,62,57,63,68,50,,,,,,,,,,,,,,,,,,70,62,,57,79,56,71,48,72,56,45,52,62,70,,,,,,,,,,,,,,,,,62,3.496,Second Class Lower
Male,23,kwara,Direct,60,,,,,,,,,,,46,,58,,,,,,,,68,,,,,94,80,62,52,42,,,,66,64,65,64,76,80,71,46,66,86,46,62,,,,,,,,,,,,,,,,,,,,61,58,50,57,55,,64,66,64,65,56,70,48,60,65,63,52,57,65,62,57,64,52,,,,,,,,,,,,,,,,,,66,64,,63,93,56,61,55,87,61,61,62,61,54,,,,,,,,,,,,,,,,,68,3.712,Second Class Upper
Male,25,oyo,Direct,60,,,,,,,,,,,46,,50,,,,,,,,65,,,,,74,52,54,52,64,,,,70,54,71,72,60,71,60,41,68,58,56,60,,,,,,,,,,,,,,,,,,,,64,60,48,48,44,,61,74,62,65,54,50,,50,52,56,,,45,,68,54,66,,,,,,,,,,,,,,,,,,56,62,,57,82,50,46,56,63,55,49,56,48,57,,,,,,,,,,,,,,,,,64,3.317073171,Second Class Lower
Female,24,kwara,Direct,60,,,,,,,,,,,54,,72,,,,,,,,68,,,,,92,60,68,46,42,,,,64,61,66,72,66,80,66,51,50,62,50,60,,,,,,,,,,,,,,,,,,,,62,60,42,57,41,,66,67,63,65,51,58,54,67,50,68,50,,65,,64,67,40,,,,,,,,,,,,,,,,,,66,60,,52,91,51,73,53,86,40,54,52,55,60,,,,,,,,,,,,,,,,,65,3.472,Second Class Lower
Male,20,kwara,Direct,60,,,,,,,,,,,66,,78,,64,71,62,,,,62,,,,,92,62,40,58,56,,,,63,66,58,60,73,84,53,63,68,72,60,68,,,,,,,,,,,,,,,,,,,,61,60,54,67,45,,73,79,70,61,67,70,,65,55,70,56,66,60,55,63,74,58,,,,,,,,,,,,,,,,,,86,61,,65,96,70,73,48,93,61,72,64,71,70,,,,,,,,,,,,,,,,,67,3.939849624,Second Class Upper
Male,24,oyo,Direct,60,,,,,,,,,,,52,,66,,,,,,,,45,,,,,80,54,57,52,40,,,,62,67,64,50,70,73,58,60,52,76,62,66,,,,,,,,,,,,,,,,,,,,64,56,40,62,44,,70,46,50,64,42,48,56,64,47,70,,,55,72,44,64,68,,,,,,,,,,,,,,,,,,66,72,,58,69,50,64,54,66,40,51,66,54,65,,,,,,,,,,,,,,,,,65,3.2109375,Second Class Lower
Male,30,oyo,Direct,60,,,,,,,,,,,44,,52,,,,,,,,43,,,,,74,54,56,66,46,,,,66,42,56,58,64,71,67,60,56,58,52,56,,,,,,,,,,,,,,,,,,,,62,40,43,61,47,,68,66,55,64,47,58,50,60,53,60,52,,65,,61,78,52,,,,,,,,,,,,,,,,,,60,63,,54,89,61,64,46,78,40,78,60,63,65,,,,,,,,,,,,,,,,,65,3.1171875,Second Class Lower
Female,25,oyo,Direct,60,,,,,,,,,,,80,,80,,,,,,,,71,,,,,94,74,62,64,48,,,,60,64,67,75,63,83,65,62,70,80,56,73,,,,,,,,,,,,,,,,,,,,60,70,56,69,45,,70,84,70,66,58,74,50,63,77,70,84,,40,,66,76,74,,,,,,,,,,,,,,,,,,86,62,,68,92,52,76,61,81,53,75,72,78,68,,,,,,,,,,,,,,,,,66,4.176,Second Class Upper
Male,22,ogun,Direct,60,,,,,,,,,,,68,,78,,,,,,,,40,,,,,86,66,52,56,40,,,,62,69,57,73,67,83,46,66,62,76,58,68,,,,,,,,,,,,,,,,,,,,64,51,50,65,43,,66,70,63,65,59,62,54,65,,74,62,65,50,60,63,75,60,,,,,,,,,,,,,,,,,,80,54,,62,90,60,70,61,88,65,61,58,78,62,,,,,,,,,,,,,,,,,68,3.792,Second Class Upper
